age,sex,avg_implied,total_implied,implied_dist
63,female,5080.76444637502,1958056.2188135,0.0025948000867175
64,female,4790.43486874987,1958056.2188135,0.00244652570376793
65,female,4646.69033325001,1958056.2188135,0.00237311385066651
66,female,4451.35365975002,1958056.2188135,0.00227335334755983
67,female,4298.50367175016,1958056.2188135,0.00219529124365738
68,female,4176.13095587507,1958056.2188135,0.00213279420465548
69,female,4116.635874625,1958056.2188135,0.00210240943802906
70,female,4101.28941862498,1958056.2188135,0.00209457184079739
71,female,4101.34025924999,1958056.2188135,0.00209459780564178
72,female,4069.42186012503,1958056.2188135,0.00207829674195511
73,female,3957.26420400004,1958056.2188135,0.0020210166419011
74,female,3787.92195012499,1958056.2188135,0.00193453176355698
75,female,3664.03362862498,1958056.2188135,0.00187126068874837
76,female,3627.12693837506,1958056.2188135,0.00185241205207731
77,female,3676.00957637499,1958056.2188135,0.00187737693180357
78,female,3691.38143037501,1958056.2188135,0.0018852275000622
79,female,3766.49949899994,1958056.2188135,0.00192359109141528
80,female,3863.92583925002,1958056.2188135,0.00197334775279915
81,female,3953.06335287503,1958056.2188135,0.00201887122284488
82,female,3982.34832049998,1958056.2188135,0.00203382736523935
83,female,3954.24598562502,1958056.2188135,0.00201947520588614
84,female,3861.4925905,1958056.2188135,0.00197210506695252
85,female,3688.956953375,1958056.2188135,0.00188398929404098
86,female,3763.24165750002,1958056.2188135,0.00192192727733854
87,female,3714.396985625,1958056.2188135,0.00189698178731343
88,female,3637.25925237501,1958056.2188135,0.0018575867318963
89,female,3511.11999325001,1958056.2188135,0.00179316607945894
90,female,3344.70925650001,1958056.2188135,0.00170817835788533
91,female,3150.35338075,1958056.2188135,0.0016089187585528
92,female,2946.656299625,1958056.2188135,0.00150488850693498
93,female,2735.296013375,1958056.2188135,0.0013969445754895
94,female,2489.960459625,1958056.2188135,0.00127164911594511
95,female,2211.016025125,1958056.2188135,0.0011291892458863
96,female,1886.599330375,1958056.2188135,0.000963506212052582
97,female,1535.068056375,1958056.2188135,0.00078397547610006
98,female,1212.802785125,1958056.2188135,0.000619391196979988
99,female,945.9231385,1958056.2188135,0.000483092941566913
100,female,46368.71024275,1958056.2188135,0.02368099025821
1,male,18382.038502125,1958056.2188135,0.00938790128981266
2,male,16651.602340375,1958056.2188135,0.00850414925801527
3,male,14851.6008983749,1958056.2188135,0.00758486950255922
4,male,13276.01176275,1958056.2188135,0.00678019948313574
5,male,11991.334807375,1958056.2188135,0.00612410138797817
6,male,11775.070666125,1958056.2188135,0.00601365300596947
7,male,11311.71939325,1958056.2188135,0.00577701461508824
8,male,11236.02981825,1958056.2188135,0.0057383591493908
9,male,11659.906373625,1958056.2188135,0.00595483738495029
10,male,11928.0139126251,1958056.2188135,0.00609176273797334
11,male,12281.617221125,1958056.2188135,0.00627235168383834
